Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,CHINA,37,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17,THAILAND,26,0,,69
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,75,AUSTRALIA,31,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,SINGAPORE,30,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,47,MALAYSIA,37,0,,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SRI LANKA,39,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,83,PHILIPPINES,20,0,,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,AUSTRALIA,27,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,UNITED STATES,24,0,,60
EPX,Travel Agency,Online,Cancellation Plan,Yes,73,THAILAND,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,VIET NAM,37,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,SINGAPORE,70,0,,26
EPX,Travel Agency,Online,Cancellation Plan,No,24,MALAYSIA,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,MALAYSIA,10,0,,49
EPX,Travel Agency,Online,Cancellation Plan,No,41,"KOREA, REPUBLIC OF",10,0,,22
EPX,Travel Agency,Online,Cancellation Plan,No,41,"KOREA, REPUBLIC OF",10,0,,23
EPX,Travel Agency,Online,Cancellation Plan,No,35,MYANMAR,13,0,,39
EPX,Travel Agency,Online,Cancellation Plan,No,8,UNITED STATES,42,0,,55
EPX,Travel Agency,Online,Cancellation Plan,No,34,CHINA,33,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,CAMBODIA,17,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,54,"KOREA, REPUBLIC OF",39,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,HONG KONG,18,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,HONG KONG,29,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,HONG KONG,24,0,,28
EPX,Travel Agency,Online,Cancellation Plan,No,29,"TAIWAN, PROVINCE OF CHINA",43,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,30,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,57,SRI LANKA,10,0,,32
EPX,Travel Agency,Online,Cancellation Plan,No,38,UNITED STATES,18,0,,38
EPX,Travel Agency,Online,Cancellation Plan,No,53,NEW ZEALAND,59,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,SINGAPORE,16,0,,45
EPX,Travel Agency,Online,Cancellation Plan,No,18,MYANMAR,19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,32,CHINA,33,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,HONG KONG,21,0,,53
EPX,Travel Agency,Online,Cancellation Plan,No,25,INDIA,20,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,CHINA,32,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,CHINA,24,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,36,UNITED STATES,11,0,,21
EPX,Travel Agency,Online,Cancellation Plan,No,26,MALAYSIA,22,0,,54
EPX,Travel Agency,Online,Cancellation Plan,No,27,INDIA,0,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,49,AUSTRALIA,18,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,33,INDONESIA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,INDONESIA,10,0,,28
EPX,Travel Agency,Online,Cancellation Plan,No,81,NEPAL,45,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,HONG KONG,30,0,,20
EPX,Travel Agency,Online,Cancellation Plan,No,25,AUSTRALIA,45,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,82,PHILIPPINES,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,70,"TAIWAN, PROVINCE OF CHINA",21,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,MALAYSIA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,MALAYSIA,10,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,14,CHINA,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6,MYANMAR,20,0,,57
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,9,MYANMAR,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,52,AUSTRALIA,28,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,17,JAPAN,39,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,CHINA,27,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,SINGAPORE,51,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,49,PHILIPPINES,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,5,VIET NAM,20,0,,29
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,17,MALAYSIA,37,0,,36
JWT,Airlines,Online,Value Plan,No,16,INDIA,50,20,M,118
RAB,Airlines,Online,Value Plan,No,75,BRUNEI DARUSSALAM,31,12.4,,78
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15,6,,48
SSI,Airlines,Online,Ticket Protector,No,39,SINGAPORE,1.48,0.41,,48
SSI,Airlines,Online,Ticket Protector,No,53,SINGAPORE,73.67,20.65,,48
SSI,Airlines,Online,Ticket Protector,No,40,SINGAPORE,7.21,2.02,,48
SSI,Airlines,Online,Ticket Protector,No,13,SINGAPORE,5.09,1.43,,48
JZI,Airlines,Online,Basic Plan,No,4,MYANMAR,18,6.3,F,29
JZI,Airlines,Online,Basic Plan,No,54,HONG KONG,26,9.1,M,40
JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18,6.3,M,33
JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18,6.3,M,40
JZI,Airlines,Online,Basic Plan,No,104,JAPAN,35,12.25,M,38
JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,M,42
JZI,Airlines,Online,Basic Plan,No,24,INDIA,35,12.25,M,53
JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,F,45
JZI,Airlines,Online,Basic Plan,No,48,INDIA,50,17.5,M,53
JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18,6.3,M,49
JZI,Airlines,Online,Basic Plan,No,7,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,47
JZI,Airlines,Online,Basic Plan,No,20,SRI LANKA,26,9.1,M,45
JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,F,47
JZI,Airlines,Online,Basic Plan,No,15,THAILAND,22,7.7,M,49
JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18,6.3,M,55
JZI,Airlines,Online,Basic Plan,No,48,JAPAN,26,9.1,F,32
JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22,7.7,F,70
JZI,Airlines,Online,Basic Plan,No,14,MYANMAR,33,11.55,M,34
JZI,Airlines,Online,Basic Plan,No,42,CHINA,63,22.05,M,48
JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22,7.7,M,68
JZI,Airlines,Online,Value Plan,No,131,UNITED KINGDOM,125,43.75,F,31
JZI,Airlines,Online,Value Plan,No,36,UNITED KINGDOM,87,30.45,M,51
JZI,Airlines,Online,Value Plan,No,202,FRANCE,149,52.15,M,38
JZI,Airlines,Online,Value Plan,No,42,CHINA,92,32.2,F,53
JZI,Airlines,Online,Value Plan,No,11,GERMANY,87,30.45,M,49
JZI,Airlines,Online,Value Plan,No,10,CHINA,45,15.75,M,50
CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,72
CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,77
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,F,118
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
CBH,Travel Agency,Offline,Comprehensive Plan,No,36,THAILAND,29,9.57,M,63
ART,Airlines,Online,24 Protect,No,2,PHILIPPINES,7.44,2.6,M,48
ART,Airlines,Online,24 Protect,No,2,THAILAND,9.48,3.32,M,48
C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,38.35,9.59,F,71
C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38.35,9.59,M,45
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,22.1,5.53,M,28
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,38.35,9.59,F,26
C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,F,22
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.25,4.31,F,60
C2B,Airlines,Online,Bronze Plan,No,179,SINGAPORE,682,170.5,M,25
C2B,Airlines,Online,Bronze Plan,No,33,SINGAPORE,17.25,4.31,F,30
C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,17.55,4.39,M,25
C2B,Airlines,Online,Bronze Plan,No,31,SINGAPORE,38.35,9.59,F,56
C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,71,17.75,M,42
C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62.25,15.56,M,33
C2B,Airlines,Online,Silver Plan,No,47,SINGAPORE,70.85,17.71,F,39
C2B,Airlines,Online,Silver Plan,No,61,SINGAPORE,25.9,6.47,M,37
C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,25.9,6.47,M,42
C2B,Airlines,Online,Gold Plan,No,26,SINGAPORE,119,29.75,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,187.85,46.96,M,32
C2B,Airlines,Online,Annual Silver Plan,No,374,SINGAPORE,252.85,63.21,F,42
C2B,Airlines,Online,Annual Silver Plan,No,386,SINGAPORE,252.85,63.21,F,33
C2B,Airlines,Online,Annual Gold Plan,No,369,SINGAPORE,389.35,97.34,M,42
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,86,MALAYSIA,39.6,23.76,,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,MALAYSIA,9.9,5.94,,67
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,UNITED STATES,19.8,11.88,,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,17,THAILAND,29.7,17.82,,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,60,MALAYSIA,19.8,11.88,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,THAILAND,49.5,29.7,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,19.8,11.88,,69
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,UNITED ARAB EMIRATES,19.8,11.88,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,32,MALAYSIA,0,89.1,,45
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,AUSTRALIA,39.6,23.76,,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,100,AUSTRALIA,0,106.92,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,105,UNITED KINGDOM,39.6,23.76,,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,244,THAILAND,49.5,29.7,,41
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,34,AUSTRALIA,59.4,35.64,,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,THAILAND,31,0,,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,52,PHILIPPINES,34,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,53,PHILIPPINES,20,0,,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,99,THAILAND,33,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,"TAIWAN, PROVINCE OF CHINA",25,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,20,0,,51
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,52,PHILIPPINES,34,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,52,PHILIPPINES,34,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,76,CHINA,38,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,25,PHILIPPINES,70,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46,THAILAND,24,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,202,SPAIN,76,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,103,"KOREA, REPUBLIC OF",56,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,SINGAPORE,26,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,33,HONG KONG,21,0,,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,108,MYANMAR,20,0,,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20,0,,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,279,UNITED KINGDOM,107,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,9,CHINA,87,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,INDONESIA,20,0,,65
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,THAILAND,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,SINGAPORE,30,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,CHINA,46,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,INDONESIA,26,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,CAMBODIA,103,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,MALAYSIA,20,0,,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,CHINA,0,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,277,CZECH REPUBLIC,21,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,CHINA,33,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,107,THAILAND,20,0,,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,CHINA,68,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,61,INDONESIA,25,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,83,CHINA,28,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,61,INDONESIA,25,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,47,THAILAND,68,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,34,AUSTRALIA,62,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,25,UNITED STATES,98,0,,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,NETHERLANDS,112,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,CHINA,31,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,38,UNITED STATES,10,0,,42
EPX,Travel Agency,Online,Cancellation Plan,No,12,HONG KONG,21,0,,51
EPX,Travel Agency,Online,Cancellation Plan,No,6,SINGAPORE,13,0,,28
EPX,Travel Agency,Online,Cancellation Plan,No,14,THAILAND,27,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,41,INDONESIA,12,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,56,"TAIWAN, PROVINCE OF CHINA",21,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,MACAO,19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,87,UNITED KINGDOM,80,0,,43
EPX,Travel Agency,Online,Cancellation Plan,No,22,MALAYSIA,11,0,,45
EPX,Travel Agency,Online,Cancellation Plan,No,24,SINGAPORE,60,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,59,MYANMAR,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,20,0,,45
EPX,Travel Agency,Online,Cancellation Plan,No,76,INDIA,22,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,VIET NAM,15,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,45,THAILAND,30,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,83,PHILIPPINES,23,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,INDIA,45,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,INDIA,25,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,276,CROATIA,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,CHINA,46,0,,49
EPX,Travel Agency,Online,Cancellation Plan,No,28,INDIA,35,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,FINLAND,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,123,MALAYSIA,26,0,,28
EPX,Travel Agency,Online,Cancellation Plan,No,11,INDONESIA,32,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,THAILAND,15,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,SINGAPORE,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,THAILAND,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,THAILAND,10,0,,24
EPX,Travel Agency,Online,Cancellation Plan,No,12,AUSTRALIA,33,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,54,CANADA,10,0,,22
EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,3,"KOREA, REPUBLIC OF",49,0,,21
EPX,Travel Agency,Online,Cancellation Plan,No,47,CHINA,31,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,HONG KONG,15,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,277,CANADA,80,0,,29
EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,PHILIPPINES,19,0,,29
EPX,Travel Agency,Online,Cancellation Plan,No,39,INDONESIA,27,0,,37
EPX,Travel Agency,Online,Cancellation Plan,No,40,JAPAN,43,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,VIET NAM,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,39,JAPAN,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,HONG KONG,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,81,JAPAN,36,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,SINGAPORE,16,0,,45
EPX,Travel Agency,Online,Cancellation Plan,No,8,THAILAND,10,0,,53
EPX,Travel Agency,Online,Cancellation Plan,No,5,MALAYSIA,19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,122,PHILIPPINES,13,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,MALAYSIA,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,148,JAPAN,40,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,VIET NAM,10,0,,58
EPX,Travel Agency,Online,Cancellation Plan,No,123,SINGAPORE,49,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,ITALY,72,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,32,"KOREA, REPUBLIC OF",55,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,64,JAPAN,38,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,VIET NAM,0,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,17,MALAYSIA,40,0,,35
EPX,Travel Agency,Online,Cancellation Plan,No,33,CHINA,32,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,CAMBODIA,41,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,SRI LANKA,30,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,27,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,41,CANADA,40,0,,26
EPX,Travel Agency,Online,Cancellation Plan,No,278,CANADA,62,0,,32
EPX,Travel Agency,Online,Cancellation Plan,No,9,HONG KONG,39,0,,61
EPX,Travel Agency,Online,Cancellation Plan,No,25,SINGAPORE,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,INDIA,30,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,"TAIWAN, PROVINCE OF CHINA",17,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,204,SINGAPORE,32,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,112,"KOREA, REPUBLIC OF",23,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3,"KOREA, REPUBLIC OF",20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,TUNISIA,56,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,10,SINGAPORE,20,0,,55
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,7,SINGAPORE,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,8,HONG KONG,55,0,,49
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,27,SINGAPORE,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,54,RUSSIAN FEDERATION,20,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,12,AUSTRALIA,47,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,13,VIET NAM,20,0,,39
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,31,UNITED STATES,20,0,,45
JWT,Airlines,Online,Value Plan,No,10,INDIA,31,12.4,M,118
JWT,Airlines,Online,Value Plan,No,18,INDIA,0,28.8,M,118
JWT,Airlines,Online,Value Plan,No,7,INDIA,62,24.8,M,118
JWT,Airlines,Online,Value Plan,No,12,INDIA,60,24,M,118
JWT,Airlines,Online,Value Plan,No,15,INDIA,50,20,M,118
KML,Travel Agency,Online,Value Plan,No,40,INDONESIA,28,10.64,F,48
KML,Travel Agency,Online,Value Plan,No,38,NETHERLANDS,75,28.5,M,48
KML,Travel Agency,Online,Value Plan,No,111,GERMANY,95,36.1,F,48
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6,,52
RAB,Airlines,Online,Value Plan,No,5,BRUNEI DARUSSALAM,15,6,,38
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15,6,M,39
RAB,Airlines,Online,Value Plan,No,15,BRUNEI DARUSSALAM,15,6,,45
SSI,Airlines,Online,Ticket Protector,No,78,SINGAPORE,8.49,2.38,,48
JZI,Airlines,Online,Basic Plan,No,7,INDONESIA,30,10.5,F,35
JZI,Airlines,Online,Basic Plan,No,97,JAPAN,44,15.4,F,20
JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,33,11.55,M,63
JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,30,10.5,M,60
JZI,Airlines,Online,Basic Plan,No,8,MACAO,26,9.1,M,57
JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,18,6.3,F,25
JZI,Airlines,Online,Basic Plan,No,7,THAILAND,22,7.7,F,35
JZI,Airlines,Online,Basic Plan,No,10,CHINA,26,9.1,M,42
JZI,Airlines,Online,Basic Plan,No,118,THAILAND,22,7.7,F,34
JZI,Airlines,Online,Basic Plan,No,39,HONG KONG,26,9.1,F,68
JZI,Airlines,Online,Basic Plan,No,12,PHILIPPINES,18,6.3,M,34
JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26,9.1,F,43
JZI,Airlines,Online,Basic Plan,No,73,CHINA,26,9.1,M,41
JZI,Airlines,Online,Basic Plan,No,22,THAILAND,30,10.5,M,60
JZI,Airlines,Online,Value Plan,No,142,AUSTRALIA,58,20.3,F,24
JZI,Airlines,Online,Value Plan,No,4,CHINA,36,12.6,M,47
JZI,Airlines,Online,Value Plan,No,18,UNITED STATES,121,42.35,M,35
JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,44
JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,41
ART,Airlines,Online,24 Protect,No,351,PHILIPPINES,29.19,10.22,M,48
C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,23.8,5.95,F,34
C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,35.25,8.81,F,27
C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,202,50.5,M,34
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,23.4,5.85,F,30
C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,71,17.75,F,26
C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,17.55,4.39,M,29
C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,74.25,18.56,M,27
C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,24.05,6.01,F,38
C2B,Airlines,Online,Silver Plan,No,68,SINGAPORE,24.05,6.01,M,47
C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62.25,15.56,F,27
C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,108,27,M,29
C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,127,31.75,F,30
C2B,Airlines,Online,Annual Gold Plan,No,368,SINGAPORE,389.35,97.34,M,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,163,GREECE,19.8,11.88,,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,29.7,17.82,,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,7,UNITED STATES,9.9,5.94,,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12,THAILAND,39.6,23.76,,38
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,UNITED STATES,19.8,11.88,,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,197,FRANCE,217.8,130.68,,45
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,53,UNITED STATES,128.7,77.22,,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,31,UNITED KINGDOM,99,59.4,,46
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,13,UNITED STATES,49.5,29.7,,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,95,THAILAND,29.7,17.82,,60
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,29.7,17.82,,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,125,NORWAY,49.5,29.7,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,AUSTRALIA,29.7,17.82,,57
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,UNITED STATES,19.8,11.88,,55
